Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6650	0.275489	7082	0.062271	671	0.360656	5597	0.256209	0.214621	1781	0.287479	0.249061	1709	0.303101	0.000023	1415	0.205654	0.000019	1745	0.292837	58.547839	5597	0.256209	0.197450	0.219361	
6675	0.268015	7040	0.063778	675	0.407407	5610	0.250089	0.214621	1768	0.274887	0.249061	1725	0.277681	0.000023	1434	0.184100	0.000019	1748	0.320366	58.547839	5610	0.250089	0.195800	0.219343	
6751	0.270775	6902	0.063460	696	0.370690	5651	0.227924	0.214621	1722	0.272358	0.249061	1739	0.296722	0.000022	1578	0.184411	0.000019	1712	0.322430	58.547839	5651	0.227924	0.190600	0.219320	
6868	0.275917	6911	0.064679	751	0.356858	5470	0.255576	0.214621	1682	0.280024	0.249061	1790	0.256983	0.000013	1754	0.285063	0.000019	1642	0.282582	58.547839	5470	0.255576	0.200400	0.219305	
6610	0.267474	7064	0.068516	698	0.366762	5628	0.253376	0.214621	1740	0.274713	0.249061	1661	0.282962	0.000023	1432	0.191341	0.000019	1777	0.307259	58.547839	5628	0.253376	0.196700	0.219288	
6718	0.238910	6998	0.069020	665	0.335338	5619	0.240256	0.214621	1786	0.263158	0.249061	1765	0.253824	0.000013	1574	0.218551	0.000019	1593	0.215317	58.547839	5619	0.240256	0.183050	0.219259	
6753	0.270398	6978	0.067498	714	0.385154	5555	0.252025	0.214621	1758	0.263367	0.249061	1726	0.279838	0.000022	1472	0.222826	0.000019	1797	0.307179	58.547839	5555	0.252025	0.198600	0.219243	
6749	0.275745	6963	0.072670	703	0.374111	5585	0.237601	0.214621	1675	0.282985	0.249061	1834	0.303162	0.000021	1524	0.214567	0.000019	1716	0.293706	58.547839	5585	0.237601	0.197850	0.219227	
6925	0.279422	6862	0.059458	676	0.380178	5537	0.231895	0.214621	1741	0.278576	0.249061	1805	0.271468	0.000021	1597	0.238572	0.000019	1782	0.324916	58.547839	5537	0.231895	0.194200	0.219207	
6772	0.278795	6952	0.057537	678	0.401180	5598	0.250625	0.214621	1735	0.265706	0.249061	1716	0.303030	0.000021	1635	0.217125	0.000019	1686	0.327402	58.547839	5598	0.250625	0.198150	0.219191	
6683	0.270836	6944	0.058324	701	0.309558	5672	0.236248	0.214621	1700	0.268824	0.249061	1745	0.277364	0.000021	1526	0.221494	0.000019	1712	0.310164	58.547839	5672	0.236248	0.188600	0.219167	
6697	0.268628	7031	0.065425	726	0.353994	5546	0.254057	0.214621	1800	0.267778	0.249061	1732	0.284065	0.000021	1434	0.221060	0.000019	1731	0.293472	58.547839	5546	0.254057	0.196250	0.219149	
6777	0.253505	6936	0.065600	674	0.321958	5613	0.245323	0.214621	1737	0.280368	0.249061	1778	0.273341	0.000020	1509	0.176938	0.000019	1753	0.272675	58.547839	5613	0.245323	0.188350	0.219125	
6832	0.300498	7024	0.063924	681	0.331865	5463	0.231558	0.214621	1730	0.270520	0.249061	1764	0.297052	0.000018	1635	0.276453	0.000019	1703	0.357604	58.547839	5463	0.231558	0.199650	0.219110	
6790	0.254934	6907	0.061242	726	0.359504	5577	0.240810	0.214621	1705	0.275073	0.249061	1833	0.265139	0.000020	1542	0.196498	0.000019	1710	0.276608	58.547839	5577	0.240810	0.187900	0.219086	
6897	0.259968	6852	0.065090	723	0.355463	5528	0.240232	0.214621	1734	0.247405	0.249061	1771	0.274421	0.000012	1672	0.262560	0.000019	1720	0.255233	58.547839	5528	0.240232	0.191200	0.219065	
6815	0.265150	7013	0.060887	691	0.364689	5481	0.232074	0.214621	1717	0.251019	0.249061	1755	0.263818	0.000020	1545	0.228479	0.000019	1798	0.311457	58.547839	5481	0.232074	0.187900	0.219040	
6834	0.274802	6975	0.060502	639	0.322379	5552	0.246578	0.214621	1774	0.260992	0.249061	1737	0.285550	0.000020	1597	0.221039	0.000019	1726	0.327926	58.547839	5552	0.246578	0.193750	0.219021	
6614	0.233444	7005	0.069379	653	0.352221	5728	0.259602	0.214621	1824	0.247259	0.249061	1710	0.258480	0.000020	1435	0.179791	0.000019	1645	0.238906	58.547839	5728	0.259602	0.187350	0.218996	
6620	0.219486	7081	0.057478	679	0.316642	5620	0.258007	0.214621	1715	0.237901	0.249061	1845	0.243360	0.000013	1536	0.189453	0.000019	1524	0.200131	58.547839	5620	0.258007	0.176250	0.218963	
6997	0.325711	6798	0.063254	722	0.423823	5483	0.238373	0.214621	1746	0.286942	0.249061	1737	0.320092	0.000010	1736	0.385945	0.000019	1778	0.310461	58.547839	5483	0.238373	0.216100	0.218961	
6729	0.256650	7030	0.063158	716	0.361732	5525	0.251584	0.214621	1734	0.280854	0.249061	1780	0.252809	0.000020	1529	0.205363	0.000019	1686	0.282325	58.547839	5525	0.251584	0.191000	0.218940	
6817	0.258178	6874	0.063136	643	0.382582	5666	0.257501	0.214621	1694	0.260331	0.249061	1786	0.279955	0.000020	1650	0.203030	0.000019	1687	0.286900	58.547839	5666	0.257501	0.194950	0.218921	
6768	0.277039	7066	0.071044	640	0.348438	5526	0.235975	0.214621	1769	0.265122	0.249061	1695	0.292625	0.000020	1586	0.205549	0.000019	1718	0.339930	58.547839	5526	0.235975	0.195200	0.218903	
6580	0.249088	7133	0.069957	667	0.358321	5620	0.248754	0.214621	1725	0.245217	0.249061	1728	0.271412	0.000020	1450	0.199310	0.000019	1677	0.273107	58.547839	5620	0.248754	0.188750	0.218880	
6771	0.254911	6959	0.063802	718	0.355153	5552	0.247118	0.214621	1707	0.271822	0.249061	1849	0.270957	0.000020	1536	0.190104	0.000019	1679	0.279333	58.547839	5552	0.247118	0.189850	0.218857	
6709	0.248025	6974	0.057356	680	0.317647	5637	0.251020	0.214621	1729	0.233083	0.249061	1785	0.270588	0.000019	1491	0.225352	0.000019	1704	0.259390	58.547839	5637	0.251020	0.184750	0.218831	
6838	0.278152	6928	0.061345	657	0.348554	5577	0.257665	0.214621	1721	0.273678	0.249061	1792	0.261719	0.000020	1612	0.234491	0.000019	1713	0.340922	58.547839	5577	0.257665	0.199650	0.218817	
6727	0.262376	7061	0.057499	722	0.371191	5490	0.254281	0.214621	1704	0.248239	0.249061	1741	0.266513	0.000020	1551	0.201161	0.000019	1731	0.326979	58.547839	5490	0.254281	0.191750	0.218796	
6742	0.271136	7020	0.066097	703	0.386913	5535	0.252394	0.214621	1748	0.284897	0.249061	1756	0.273918	0.000020	1547	0.215902	0.000019	1691	0.304554	58.547839	5535	0.252394	0.198050	0.218780	
6789	0.272058	6884	0.065514	689	0.361393	5638	0.242817	0.214621	1722	0.285134	0.249061	1772	0.267494	0.000020	1569	0.216061	0.000019	1726	0.314600	58.547839	5638	0.242817	0.195800	0.218762	
6895	0.271646	6830	0.064568	670	0.341791	5605	0.243889	0.214621	1737	0.284974	0.249061	1814	0.264057	0.000020	1558	0.194480	0.000019	1786	0.333707	58.547839	5605	0.243889	0.195500	0.218745	
6766	0.253473	6983	0.069454	723	0.363762	5528	0.244030	0.214621	1725	0.227826	0.249061	1792	0.255022	0.000017	1539	0.237167	0.000019	1710	0.292398	58.547839	5528	0.244030	0.190600	0.218723	
6756	0.248520	6986	0.074435	730	0.389041	5528	0.246382	0.214621	1757	0.253842	0.249061	1759	0.279136	0.000020	1468	0.188011	0.000019	1772	0.262980	58.547839	5528	0.246382	0.192250	0.218703	
6970	0.298278	6904	0.064021	639	0.372457	5487	0.242938	0.214621	1828	0.282276	0.249061	1730	0.280925	0.000011	1798	0.324805	0.000019	1614	0.305452	58.547839	5487	0.242938	0.204600	0.218692	
6493	0.222393	7030	0.069132	687	0.360990	5790	0.244732	0.214621	1759	0.230244	0.249061	1831	0.264336	0.000020	1349	0.161601	0.000019	1554	0.216860	58.547839	5790	0.244732	0.179750	0.218662	
6539	0.240251	7059	0.058224	719	0.333797	5683	0.245293	0.214621	1725	0.260290	0.249061	1686	0.269276	0.000014	1559	0.198845	0.000019	1569	0.228171	58.547839	5683	0.245293	0.180800	0.218634	
6857	0.307131	6896	0.055684	690	0.346377	5557	0.250855	0.214621	1789	0.275573	0.249061	1736	0.283986	0.000009	1661	0.399157	0.000019	1671	0.273489	58.547839	5557	0.250855	0.206150	0.218624	
6840	0.268129	6910	0.059624	702	0.337607	5548	0.247477	0.214621	1710	0.257895	0.249061	1748	0.279176	0.000020	1594	0.212045	0.000019	1788	0.317114	58.547839	5548	0.247477	0.192800	0.218604	
