Options:
Model:                           Independent Contrasts
Tree File Name:                  SelTreeNex.nex
Data File Name:                  BTselPPC.txt
Log File Name:                   BTselPPC.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2717221757
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      200000000
Burn in:                         25000000
MCMC ML Start:                   False
Schedule File:                   BTselPPC.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Alpha-2                      None
    Sigma-1                      None
    Sigma-2                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Alpha-2 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        Sigma-2 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       89
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1	Sigma^2 2	No RJ Local Branch	No RJ Local Node	
25020000	353.488039	1	-0.006582864123	-0.027212755574	0.000012158897	0.000020161389	11	5	
25040000	355.279111	1	0.009997952386	-0.023385755311	0.000007036784	0.000014696156	13	4	
25060000	359.761555	1	-0.032260324259	-0.028677797091	0.000006576210	0.000012404389	14	4	
25080000	364.492593	1	0.011824950377	-0.039855510437	0.000006214020	0.000009205906	11	6	
25100000	361.882879	1	-0.011349791024	-0.052341678226	0.000006855260	0.000011306333	7	4	
25120000	355.238150	1	0.023766488757	-0.092738421986	0.000010078923	0.000019449999	10	4	
25140000	367.821187	1	-0.020659719784	-0.029126992542	0.000007927178	0.000009455087	12	5	
25160000	370.257554	1	-0.000768308539	-0.018930926123	0.000006154672	0.000008732611	7	6	
25180000	362.125995	1	-0.002560843507	-0.063031911778	0.000006057614	0.000006987977	8	5	
25200000	373.146247	1	-0.032476729148	0.032360107646	0.000004872868	0.000009126170	7	6	
25220000	365.642112	1	0.002197566829	-0.006178218353	0.000006220314	0.000011413843	14	7	
25240000	369.178670	1	-0.006742607217	-0.033344808026	0.000010532124	0.000011620356	9	4	
25260000	364.573071	1	-0.003057592328	-0.061563662488	0.000006591511	0.000009883826	13	3	
25280000	369.844905	1	-0.022219729745	-0.083113257467	0.000005136861	0.000007913896	13	3	
25300000	355.356013	1	0.020105816724	-0.042607440492	0.000007386249	0.000012965167	9	6	
25320000	360.727082	1	-0.008043654953	-0.060020019948	0.000006311995	0.000009966714	6	6	
25340000	346.041549	1	-0.011991273963	0.015994942901	0.000011440424	0.000016008060	6	3	
25360000	355.725165	1	0.017525967397	-0.037200567488	0.000008765354	0.000014130796	8	5	
25380000	358.776290	1	-0.038919473283	-0.076879345680	0.000009873912	0.000013593398	9	4	
25400000	363.484324	1	0.004988080940	-0.017952304072	0.000006375883	0.000012481910	13	4	
