"","x"
"1",0.901587677250852
"2",0.259608471611246
"3",0.416421732680592
"4",0.177964755878101
"5",0.274615671103682
"6",0.167542257489294
"7",0.192607204597357
"8",0.745997254436126
"9",1.71612454179742
"10",0.803886581829589
"11",0.349553032509254
"12",0.271952136399937
"13",0.197905901935418
"14",0.243137449684683
"15",0.338918371135852
"16",0.452819748310315
"17",0.418363858491107
"18",0.326625946479838
"19",0.300808072686283
"20",0.281803157454742
"21",0.17776991186611
"22",0.170015745249376
"23",0.951993845272418
"24",0.557331361932862
"25",0.556929676356092
"26",0.446264451190368
"27",0.950057951023031
"28",0.244370156432358
"29",0.375988251776854
"30",0.18139784689046
"31",0.380383422019954
"32",0.301951722505754
"33",0.331522093824315
"34",0.131873780399525
"35",0.193567484958313
"36",0.155283286443267
"37",0.14139070188799
"38",0.19350248134574
"39",0.874317849713818
"40",0.30035129088535
"41",0.555112914409051
"42",0.48892058763649
"43",0.240374822336398
"44",0.214688577722929
"45",0.0554384581580596
"46",-0.108279390880633
"47",-0.101506129454502
"48",-0.158834674474002
"49",-0.176652124072091
"50",-0.158839379445733
"51",0.0167550109902025
"52",0.0633335096205968
"53",0.119427802662136
"54",0.230773903492524
"55",0.159764940227102
"56",0.644132232918183
"57",0.658058336529708
"58",1.73149330696124
"59",0.667216995272876
"60",0.67472811350521
"61",0.332246837939878
"62",0.319693531407318
"63",0.285043661176559
"64",0.325414920761622
"65",0.225370354731485
"66",0.258632914984846
"67",0.850514424631635
"68",0.695835855828374
"69",1.58938919394561
"70",0.200391385133139
"71",0.133227948198768
"72",0.127803835007168
"73",0.143547697455123
"74",0.054950739674163
"75",0.0702359101935909
"76",0.0388602107988538
"77",0.133660384097883
"78",0.162153333017013
"79",0.0492896591901988
"80",0.0368163987509928
"81",0.0407734113151449
"82",0.179092229508154
"83",0.0820017990043287
"84",-0.0215035911647055
"85",0.0395133727921886
"86",0.0190134597328046
"87",-0.0132942092650412
"88",0.135079158535637
"89",-0.0179134209875816
"90",-0.112625098678996
"91",-0.107463753917149
"92",-0.128874586281826
"93",-0.069373219346704
"94",-0.0917575473344144
"95",-0.110771747351792
"96",2.29145407259896
"97",-0.0679811535694839
"98",0.0236711411169577
"99",-0.109077258083403
"100",-0.133268269487968
"101",-0.135777814400042
"102",-0.140506957475673
"103",0.0385102762768285
"104",2.98413976399687
"105",0.287701169768494
"106",0.0576747378669736
"107",0.274168785999636
"108",0.221483816559459
"109",0.325628476256305
"110",0.0561435112828209
"111",0.0893064135872414
"112",0.0428448311543872
"113",0.0431004729038185
"114",0.110858284521187
"115",0.0886454836968733
"116",0.265681786274817
"117",0.287350597861379
"118",0.421263380575546
"119",0.298482222348275
"120",0.266362402719763
"121",1.56182270997817
"122",0.160060560140648
"123",-0.00786916175383323
"124",-0.187972153313504
"125",-0.201282727313344
"126",-0.216566886140731
"127",-0.235349989194783
"128",-0.236902580479725
"129",-0.167508751246402
"130",0.010438421332121
"131",0.68374611972691
"132",1.09190121612305
"133",0.467154072551459
"134",0.876770504277239
"135",0.345836429246568
"136",0.626429279586671
"137",0.226861235608647
"138",0.183645437455649
"139",0.272701641249589
"140",0.126739306677727
"141",0.0280776439891721
"142",0.0196365580369523
"143",0.0413063506122222
"144",0.238150370875851
"145",0.0457571678520253
"146",0.0465207323441214
"147",0.864449327273179
"148",1.82416659667476
"149",1.99435322801433
"150",1.93639007464233
"151",0.736788598925703
"152",0.0456927458828301
"153",1.30269633000658
"154",3.26761379033645
"155",2.98862808959596
"156",4.34349517921389
"157",1.26530341971962
"158",0.0340412542877707
"159",0.0640853469543239
"160",-0.0113120259626047
"161",0.0197602643783412
"162",-0.0138656307822249
"163",0.109447775809237
"164",0.0987432016758009
"165",0.0750052916514618
"166",0.224119744052661
"167",0.0271510521357486
"168",0.0934952567760193
"169",0.0171269918169581
"170",0.0618454088771827
"171",0.0245831362729738
"172",0.937326185862602
"173",0.671777645032006
"174",0.701154652727253
"175",0.692520603191143
"176",1.26373944348059
