Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
5970	0.200000	7381	0.064625	713	0.388499	5936	0.322945	0.233422	1800	0.245556	0.274326	1815	0.266667	0.000184	1001	0.038961	0.000051	1354	0.169129	36.803011	5936	0.322945	0.193250	0.222906	
6103	0.183352	7331	0.064111	735	0.334694	5831	0.343166	0.233422	1861	0.221386	0.274326	1794	0.230212	0.000109	1019	0.054956	0.000044	1429	0.166550	36.803011	5831	0.343166	0.191800	0.222881	
6227	0.205235	7314	0.062483	669	0.343797	5790	0.346459	0.233422	1780	0.234270	0.274326	1803	0.253466	0.000094	1066	0.067542	0.000027	1578	0.210393	36.803011	5790	0.346459	0.198550	0.222862	
6405	0.209524	7102	0.062518	711	0.292546	5782	0.332584	0.233422	1816	0.229075	0.274326	1753	0.217912	0.000076	1139	0.068481	0.000019	1697	0.274602	36.803011	5782	0.332584	0.195850	0.222841	
6494	0.242840	7078	0.065979	678	0.398230	5750	0.332870	0.233422	1775	0.230986	0.274326	1822	0.221734	0.000053	1116	0.102151	0.000015	1781	0.364402	36.803011	5750	0.332870	0.211400	0.222832	
6399	0.203469	7095	0.057928	706	0.351275	5800	0.333966	0.233422	1840	0.226630	0.274326	1802	0.243063	0.000053	1127	0.094942	0.000027	1630	0.208589	36.803011	5800	0.333966	0.194900	0.222811	
6447	0.254692	7008	0.063642	731	0.351573	5814	0.357585	0.233422	1770	0.240678	0.274326	1726	0.252028	0.000041	1232	0.124188	0.000014	1719	0.365329	36.803011	5814	0.357585	0.221200	0.222809	
6549	0.244159	7120	0.067275	750	0.349333	5581	0.364809	0.233422	1723	0.256529	0.274326	1755	0.276353	0.000032	1361	0.163850	0.000024	1710	0.262573	36.803011	5581	0.364809	0.218800	0.222806	
6626	0.246152	7018	0.060986	723	0.313970	5633	0.312800	0.233422	1778	0.262092	0.274326	1746	0.261168	0.000029	1479	0.175794	0.000022	1623	0.276648	36.803011	5633	0.312800	0.202400	0.222790	
6660	0.257958	7026	0.062055	671	0.347243	5643	0.288322	0.233422	1766	0.250849	0.274326	1706	0.255569	0.000028	1451	0.204686	0.000021	1737	0.312032	36.803011	5643	0.288322	0.200700	0.222773	
